tps_target,metric,ibft_mean,ibft_std,qbft_mean,qbft_std,U,z,p_value,significant,effect_size
10,throughput,8.29,3.14,9.95,0.00,38.5,-0.8693,0.384673,false,0.230
10,latency_mean,1022.65,1629.54,384.82,1156.36,40,-0.7559,0.449692,false,-0.200
10,latency_p50,1094.10,1743.68,372.00,1110.32,46.5,-0.2646,0.791337,false,0.070
10,latency_p95,1621.00,2576.20,540.40,1622.46,12,-2.8725,0.004072,true,-0.760
25,throughput,22.64,3.64,23.21,5.24,38.5,-0.8693,0.384673,false,0.230
25,latency_mean,1190.18,1873.55,445.19,1309.52,27,-1.7386,0.082099,false,0.460
25,latency_p50,1164.40,1839.11,457.40,1348.40,27,-1.7386,0.082099,false,0.460
25,latency_p95,1741.30,2753.77,881.10,2660.50,17.5,-2.4568,0.014019,true,-0.650
50,throughput,46.62,3.96,49.75,0.01,24.5,-1.9276,0.053902,false,0.510
50,latency_mean,1083.93,1755.51,40.52,0.77,39,-0.8315,0.405679,false,-0.220
50,latency_p50,940.80,1501.63,41.40,0.52,41,-0.6803,0.496292,false,0.180
50,latency_p95,2069.00,3235.87,51.70,3.16,0,-3.7796,0.000157,true,-1.000
75,throughput,74.46,0.30,74.63,0.03,21.5,-2.1544,0.031209,true,0.570
75,latency_mean,48.12,2.68,47.68,1.17,48,-0.1512,0.879829,false,0.040
75,latency_p50,46.80,1.69,47.90,0.99,29.5,-1.5497,0.121225,false,0.410
75,latency_p95,74.60,7.03,64.00,2.94,5,-3.4017,0.000670,true,-0.900
100,throughput,99.47,0.03,99.52,0.04,11.5,-2.9103,0.003611,true,0.770
100,latency_mean,56.66,3.89,53.95,1.29,26.5,-1.7764,0.075661,false,-0.470
100,latency_p50,55.10,2.77,54.00,0.94,41.5,-0.6425,0.520523,false,-0.170
100,latency_p95,88.80,9.34,73.70,4.03,7,-3.2505,0.001152,true,-0.860
150,throughput,149.24,0.06,149.32,0.09,17.5,-2.4568,0.014019,true,0.650
150,latency_mean,72.13,2.65,69.31,4.32,18,-2.4190,0.015564,true,-0.640
150,latency_p50,70.20,2.15,68.10,1.73,22.5,-2.0788,0.037635,true,-0.550
150,latency_p95,114.90,7.59,99.60,18.08,10,-3.0237,0.002497,true,-0.800
200,throughput,198.96,0.14,199.17,0.15,14,-2.7213,0.006502,true,0.720
200,latency_mean,92.51,3.80,88.09,15.59,10,-3.0237,0.002497,true,-0.800
200,latency_p50,88.80,3.82,85.20,7.84,16,-2.5702,0.010165,true,-0.680
200,latency_p95,150.90,10.41,133.30,49.87,10,-3.0237,0.002497,true,-0.800
