run_id,tps_target,tx_sent,tx_ok,tx_fail,throughput,latency_mean,latency_p50,latency_p95,latency_p99
1,10,1200,1200,0,9.95,3133.7,3498,4621,5621
1,25,3000,3000,0,24.87,3820.83,3553,5278,5366
1,50,5950,5553,397,46.19,2447.79,2237,6370,8265
1,75,9000,8955,45,74.26,50.62,48,84,97
1,100,12000,12000,0,99.49,52.21,52,76,102
1,150,18000,18000,0,149.14,72.15,70,117,161
1,200,24000,24000,0,199.1,88.86,85,141,182
2,10,1200,1200,0,9.95,3073.35,3193,5192,5228
2,25,3000,3000,0,24.87,3760.04,3596,5246,5300
2,50,5300,4480,820,36.69,4602.19,3019,7324,63650
2,75,9000,8974,26,74.41,48.6,47,76,102
2,100,12000,12000,0,99.41,56.16,54,90,139
2,150,18000,18000,0,149.24,72.36,70,115,161
2,200,24000,24000,0,198.96,87.69,85,137,164
3,10,1200,1200,0,9.95,3884.39,4111,6139,6173
3,25,3000,3000,0,24.88,4124.93,4294,6571,6695
3,50,5950,5660,290,47.1,3507.47,3875,6542,7449
3,75,9000,8878,122,73.68,45.96,46,69,87
3,100,12000,12000,0,99.52,52.49,53,75,95
3,150,18000,18000,0,149.32,72.54,69,127,161
3,200,24000,24000,0,199.15,91.46,86,149,175
4,10,1200,1200,0,9.95,18.82,21,38,60
4,25,3000,3000,0,24.87,27.55,28,45,59
4,50,6000,6000,0,49.77,38.6,38,64,82
4,75,9000,9000,0,74.6,45.41,45,70,84
4,100,12000,12000,0,99.48,54.79,54,84,101
4,150,18000,18000,0,149.29,69.69,67,113,145
4,200,24000,24000,0,199.1,89.62,83,153,218
5,10,1200,1200,0,9.95,17.91,15,33,53
5,25,3000,3000,0,24.86,28.1,29,45,58
5,50,6000,6000,0,49.75,41.16,39,73,109
5,75,9000,9000,0,74.64,45.31,45,67,75
5,100,12000,12000,0,99.48,55.08,54,88,110
5,150,18000,18000,0,149.24,69.78,68,112,134
5,200,24000,24000,0,198.91,88.74,89,140,163
6,10,1200,1200,0,9.95,18.64,22,28,56
6,25,3000,3000,0,24.89,29,29,56,67
6,50,6000,6000,0,49.75,39.93,40,60,83
6,75,9000,9000,0,74.58,45.77,45,67,88
6,100,12000,12000,0,99.47,55.36,54,88,104
6,150,18000,18000,0,149.22,69.87,69,107,130
6,200,24000,24000,0,198.77,97.29,93,163,184
7,10,1200,1200,0,9.95,19.79,21,35,64
7,25,3000,3000,0,24.87,27.57,28,43,62
7,50,6000,6000,0,49.75,42.26,41,69,85
7,75,9000,9000,0,74.58,50.08,48,80,108
7,100,12000,12000,0,99.48,63.47,60,105,123
7,150,18000,18000,0,149.22,72.39,73,110,129
7,200,24000,24000,0,198.82,94.46,90,160,183
8,10,1200,1020,180,8.46,21.44,23,48,60
8,25,3000,2250,750,18.65,27.54,28,44,54
8,50,6000,5550,450,46.01,42,42,66,79
8,75,9000,9000,0,74.61,53.12,50,86,131
8,100,12000,12000,0,99.44,62.98,60,100,122
8,150,18000,18000,0,149.26,78.93,74,129,162
8,200,24000,24000,0,198.83,98.64,94,166,200
9,10,1200,300,900,2.49,20.75,22,46,54
9,25,3000,2050,950,17,27.9,30,40,50
9,50,6000,5500,500,45.56,38.55,38,62,75
9,75,9000,9000,0,74.61,46.77,46,70,83
9,100,12000,12000,0,99.47,55.52,54,89,111
9,150,18000,18000,0,149.18,71.65,71,107,130
9,200,24000,24000,0,199.07,94.52,91,157,189
10,10,1200,280,920,2.32,17.71,15,30,80
10,25,3000,2003,997,16.61,28.37,29,45,57
10,50,6000,5500,500,45.63,39.38,39,60,73
10,75,9000,9000,0,74.62,49.52,48,77,94
10,100,12000,12000,0,99.5,58.58,56,93,116
10,150,18000,18000,0,149.32,71.91,71,112,138
10,200,24000,24000,0,198.88,93.82,92,143,164
