run_id,tps_target,tx_sent,tx_ok,tx_fail,throughput,latency_mean,latency_p50,latency_p95,latency_p99
1,25,2900,2900,0,24,11384.88,9325,27647,43980
1,50,5950,5643,307,46.82,4206.87,4311,7153,7564
1,100,12000,12000,0,99.63,53.63,54,81,93
2,25,3000,3000,0,24.89,3020.35,3227,5181,5223
2,50,5350,4593,757,37.51,5945.74,3992,33545,56252
2,100,12000,12000,0,99.64,51.28,49,83,125
3,25,3000,2994,6,24.83,3726.56,3413,5292,7282
3,50,4700,3689,1011,30.1,5866.35,4140,8690,60448
3,100,12000,12000,0,99.55,58.13,58,88,106
4,25,3000,3000,0,24.88,3773.39,3618,6545,8468
4,50,4200,2964,1236,24.48,2818.86,821,5913,75545
4,100,12000,12000,0,99.55,56.72,56,88,99
5,25,3000,2997,3,24.84,3823.99,4196,5268,7235
5,50,5850,5072,778,42.19,1880.2,122,6603,7278
5,100,12000,12000,0,99.49,58.76,57,91,104
