run_id,tps_target,tx_sent,tx_ok,tx_fail,throughput,latency_mean,latency_p50,latency_p95,latency_p99
1,10,1200,1200,0,9.95,3675.88,3532,5158,5265
1,25,3000,1000,2000,8.29,4172.16,4295,8453,14642
1,50,6000,6000,0,49.72,40.89,42,57,74
1,75,9000,9000,0,74.6,47.49,47,66,97
1,100,12000,12000,0,99.42,53.7,53,81,104
1,150,18000,18000,0,149.12,80.12,71,149,290
1,200,24000,24000,0,198.81,132.18,107,275,563
2,10,1200,1200,0,9.95,18.35,22,28,33
2,25,3000,3000,0,24.88,31.14,31,40,61
2,50,6000,6000,0,49.75,39.99,41,49,66
2,75,9000,9000,0,74.62,47.19,48,62,79
2,100,12000,12000,0,99.54,53.01,54,70,81
2,150,18000,18000,0,149.42,68.18,68,94,103
2,200,24000,24000,0,199.27,81.37,81,117,128
3,10,1200,1200,0,9.95,20.49,23,26,32
3,25,3000,3000,0,24.88,30.97,31,38,52
3,50,6000,6000,0,49.74,39.77,41,51,61
3,75,9000,9000,0,74.65,47.38,48,62,69
3,100,12000,12000,0,99.49,54.51,54,74,83
3,150,18000,18000,0,149.44,64.33,65,86,100
3,200,24000,24000,0,199.3,84.05,83,119,138
4,10,1200,1200,0,9.95,19.03,22,29,52
4,25,3000,3000,0,24.87,30.57,31,39,58
4,50,6000,6000,0,49.75,39.41,41,50,62
4,75,9000,9000,0,74.59,47.38,48,63,72
4,100,12000,12000,0,99.53,52.49,53,69,80
4,150,18000,18000,0,149.35,67.52,67,93,102
4,200,24000,24000,0,199.18,83.16,83,119,136
5,10,1200,1200,0,9.95,22.27,23,27,34
5,25,3000,3000,0,24.88,31.25,31,41,64
5,50,6000,6000,0,49.77,40.71,42,51,64
5,75,9000,9000,0,74.68,49.93,49,69,88
5,100,12000,12000,0,99.53,56.64,56,78,86
5,150,18000,18000,0,149.33,67.57,67,95,106
5,200,24000,24000,0,199.24,87.53,87,122,146
6,10,1200,1200,0,9.95,18.67,22,25,30
6,25,3000,3000,0,24.87,32.54,31,53,74
6,50,6000,6000,0,49.76,41.85,42,55,69
6,75,9000,9000,0,74.6,46.89,47,62,71
6,100,12000,12000,0,99.53,52.67,53,69,80
6,150,18000,18000,0,149.32,72.51,70,106,149
6,200,24000,24000,0,199.3,82.17,82,113,132
7,10,1200,1200,0,9.95,18.26,22,27,31
7,25,3000,3000,0,24.87,30.86,31,36,54
7,50,6000,6000,0,49.75,41.22,41,56,69
7,75,9000,9000,0,74.64,46.36,47,61,67
7,100,12000,12000,0,99.53,53.22,54,72,85
7,150,18000,18000,0,149.29,69.47,69,96,108
7,200,24000,24000,0,199.03,83.61,83,119,129
8,10,1200,1200,0,9.95,22.36,23,31,37
8,25,3000,3000,0,24.87,31.27,31,37,51
8,50,6000,6000,0,49.75,40.41,41,51,63
8,75,9000,9000,0,74.64,46.75,47,63,69
8,100,12000,12000,0,99.57,54.94,55,76,87
8,150,18000,18000,0,149.37,66.87,67,90,106
8,200,24000,24000,0,199.2,81.61,82,113,129
9,10,1200,1200,0,9.94,15,9,25,32
9,25,3000,3000,0,24.87,30.06,31,35,39
9,50,6000,6000,0,49.74,39.84,41,48,55
9,75,9000,9000,0,74.67,49.53,50,69,82
9,100,12000,12000,0,99.54,54.91,54,76,96
9,150,18000,18000,0,149.31,68.53,69,94,107
9,200,24000,24000,0,199.13,81.93,81,117,132
10,10,1200,1200,0,9.95,17.88,22,28,39
10,25,3000,3000,0,24.87,31.1,31,39,62
10,50,6000,6000,0,49.76,41.15,42,49,66
10,75,9000,9000,0,74.59,47.9,48,63,72
10,100,12000,12000,0,99.55,53.39,54,72,78
10,150,18000,18000,0,149.3,68,68,93,111
10,200,24000,24000,0,199.24,83.25,83,119,134
