run_id,tps_target,tx_sent,tx_ok,tx_fail,throughput,latency_mean,latency_p50,latency_p95,latency_p99
1,25,3000,3000,0,24.88,3470.97,3479,6257,7270
1,50,5950,4059,1891,33.56,2638.09,48,14083,15217
1,100,12000,12000,0,99.47,55.54,55,84,103
2,25,3000,3000,0,24.89,25.66,28,40,46
2,50,6000,6000,0,49.74,39.14,41,52,74
2,100,12000,12000,0,99.55,51.26,52,72,90
3,25,3000,3000,0,24.89,27.92,30,44,54
3,50,6000,6000,0,49.73,38.46,40,54,65
3,100,12000,12000,0,99.51,53.96,53,84,121
4,25,3000,3000,0,24.89,26.49,29,37,43
4,50,6000,6000,0,49.74,45.63,42,73,135
4,100,12000,12000,0,99.37,71.07,67,115,142
5,25,3000,3000,0,24.84,35.98,31,55,81
5,50,6000,6000,0,49.75,39.39,40,58,75
5,100,12000,12000,0,99.54,54.02,54,80,99
